ID;Активно;Раздел 1;Раздел 2;Артикул;Наименование;Описание;Ед. изм;Вес;Объем;Диаметр;Размер;Цвет;Цена;Старая цена;Изображение;Ссылка;оригинальные ссылки на гугле дениса;ID картинки;приставка для создания ссылки на изображение;пп кат;пп блюд;slug;vegan icon;hot icon;;;;;;;;;;;
1014;1;10. Роллы🥢;;;Ролл Эби сурими;сурими, огурец, креветки;шт.;280 гр.;8 шт.;;;;950;;https://static.tildacdn.com/tild6637-3932-4663-b666-346264346535/1014_Ebi_surimi.jpg;;https://drive.google.com/file/d/1TuxLGBXg0mwCPmK9uNTwPZz6sOaf_Kxa/view?usp=drive_link;1TuxLGBXg0mwCPmK9uNTwPZz6sOaf_Kxa;;10;14;rolls;0;0;;;;;;;;;;;
1015;1;10. Роллы🥢;;;Ролл Хоккайдо;лосось, креветки, под нежным соусом;шт.;300 гр.;8 шт.;;;;1000;;https://static.tildacdn.com/tild6639-3634-4730-b638-376531343763/1015_Hokaido.jpg;;https://drive.google.com/file/d/1iKU8MYenO3y9KvlkXoW4HRoo93pEqWqd/view?usp=drive_link;1iKU8MYenO3y9KvlkXoW4HRoo93pEqWqd;;10;15;rolls;0;0;;;;;;;;;;;
1016;1;10. Роллы🥢;;;Ролл Цезарь;креветка, огурец, салат под соусом цезарь;шт.;300 гр.;8 шт.;;;;1000;;https://static.tildacdn.com/tild6538-3431-4638-b934-653237636133/1016_Cezar.jpg;;https://drive.google.com/file/d/1KriZcpoZSz_t_kJKqWmAfPL304ImB6ht/view?usp=drive_link;1KriZcpoZSz_t_kJKqWmAfPL304ImB6ht;;10;16;rolls;0;0;;;;;;;;;;;
1017;1;10. Роллы🥢;;;Филадельфия Премиум;лосось, сыр, авокадо;шт.;300 гр.;8 шт.;;;;1300;;https://static.tildacdn.com/tild3937-3039-4933-a261-313335653837/1017_Filadelfija_Pre.jpg;;https://drive.google.com/file/d/1gFTonuVASHGD6fOxcpsnpPEmha7xpFSX/view?usp=drive_link;1gFTonuVASHGD6fOxcpsnpPEmha7xpFSX;;10;17;rolls;0;0;;;;;;;;;;;
1018;1;10. Роллы🥢;;;Канада Премиум;угорь, лосось, авокадо, унаги соус, кунжут;шт.;300 гр.;8 шт.;;;;1350;;https://static.tildacdn.com/tild6237-3234-4233-b662-616436363537/1018_Kanada_Premium.jpg;;https://drive.google.com/file/d/1Fx0gCqV5FqGCd5hejCFP9m11kpWhPUrL/view?usp=drive_link;1Fx0gCqV5FqGCd5hejCFP9m11kpWhPUrL;;10;18;rolls;0;0;;;;;;;;;;;
1019;1;10. Роллы🥢;;;Фудзи;сыр, огурец, кунжут, опаленый тартар из тунца, спайс соус;шт.;300 гр.;8 шт.;;;;1000;;https://static.tildacdn.com/tild6466-6133-4334-a530-363837363066/1019_Fudji.jpg;;https://drive.google.com/file/d/13G5YauXQCKyTfe9-2HxtlnmkZraR_Me1/view?usp=drive_link;13G5YauXQCKyTfe9-2HxtlnmkZraR_Me1;;10;19;rolls;0;0;;;;;;;;;;;
1020;1;10. Роллы🥢;;;Динамит;огурец, тобико, лосось, угорь, креветка;шт.;300 гр.;8 шт.;;;;1300;;https://static.tildacdn.com/tild3064-3261-4064-a261-626430303139/1020_Dinamit.jpg;;https://drive.google.com/file/d/19MtyXapvI-_RJLAp9rJulu4msWHM3LaR/view?usp=drive_link;19MtyXapvI-_RJLAp9rJulu4msWHM3LaR;;10;20;rolls;0;0;;;;;;;;;;;
1101;1;11. Футомаки🌶️;;;Футомаки Сяке батта;лосось в чесночном соусе;шт.;250 гр.;8 шт.;;;;950;;https://static.tildacdn.com/tild3733-3664-4163-b639-373361633566/1101_Syake_bata.jpg;;https://drive.google.com/file/d/1IB79ZWlkHuV5vhsUHL-44zisC26mMQpQ/view?usp=drive_link;1IB79ZWlkHuV5vhsUHL-44zisC26mMQpQ;;11;1;futomakihot;0;1;;;;;;;;;;;
1102;1;11. Футомаки🌶️;;;Футомаки Эби батта;креветка в чесночном соусе;шт.;250 гр.;8 шт.;;;;950;;https://static.tildacdn.com/tild6538-3334-4038-b534-653266316462/1102_Ebi_bata.jpg;;https://drive.google.com/file/d/1WcDlfT-w4fSdU45_gKy6aPzgjB48xLDs/view?usp=drive_link;1WcDlfT-w4fSdU45_gKy6aPzgjB48xLDs;;11;2;futomakihot;0;1;;;;;;;;;;;
1103;1;11. Футомаки🌶️;;;Футомаки Канни батта;сурими в чесночном соусе;шт.;250 гр.;8 шт.;;;;900;;https://static.tildacdn.com/tild3534-3230-4666-a266-653231643032/1103_Kani_bata.jpg;;https://drive.google.com/file/d/1rvH226WMR0rhzAscRdaX5TPT51T9w7Lv/view?usp=drive_link;1rvH226WMR0rhzAscRdaX5TPT51T9w7Lv;;11;3;futomakihot;0;1;;;;;;;;;;;
