WKT,название,описание
"POLYGON ((19.8278342 45.2638715, 19.8227834 45.2641957, 19.8164749 45.2651018, 19.8069477 45.2725318, 19.8023986 45.2696324, 19.8230281 45.2394581, 19.8252062 45.2398809, 19.8289399 45.2332627, 19.8417716 45.2354084, 19.8452477 45.2345018, 19.8479207 45.2356733, 19.8555811 45.2427596, 19.8561819 45.2461438, 19.8559244 45.2525188, 19.8551734 45.2561743, 19.8551734 45.2574431, 19.8558493 45.2597238, 19.8576089 45.2625331, 19.8606988 45.2651006, 19.8649903 45.2670035, 19.8543473 45.2706882, 19.8532315 45.2717453, 19.8450347 45.2744332, 19.8288556 45.2783288, 19.8319455 45.2691177, 19.8339625 45.2668524, 19.8272763 45.2651175, 19.8278342 45.2638715))",Zona 250,
"POLYGON ((19.8289399 45.2332627, 19.8252311 45.2396911, 19.8226884 45.2393284, 19.8036983 45.2666396, 19.7770908 45.2588464, 19.7667911 45.2644648, 19.7618559 45.2654012, 19.7445181 45.2533784, 19.7454622 45.2474567, 19.7537019 45.2434985, 19.7446468 45.2368202, 19.7437456 45.2334053, 19.7556761 45.2316826, 19.7993639 45.2249425, 19.8015096 45.2265445, 19.8289399 45.2332627))",Zona 300,
"POLYGON ((19.8330599 45.2669096, 19.8312925 45.2694765, 19.8277735 45.2796539, 19.8687147 45.2681174, 19.8811601 45.282432, 19.8506044 45.2833983, 19.8541664 45.2984033, 19.8382877 45.3060704, 19.8205208 45.3061307, 19.8093628 45.3042594, 19.8091911 45.2914598, 19.8028396 45.2770871, 19.8231465 45.2674231, 19.8330599 45.2669096))",Zona 300,
"POLYGON ((19.8627952 45.2611159, 19.8588899 45.2572946, 19.8600916 45.2521588, 19.8638252 45.2492282, 19.8654989 45.2465693, 19.8647264 45.2431247, 19.8743394 45.2385014, 19.8901323 45.2346634, 19.8975996 45.2404505, 19.8975996 45.2492131, 19.8803905 45.2549534, 19.8627952 45.2611159))",Zona 300,
