Артикул,Активно,cat_slug,пп блюд,наименование_sr_latn,наименование_ru,наименование_en,описание_sr_latn,описание_ru,описание_en,Цена,Цена P1,Цена P2,вес/объем,кол-во в позиции,ед-цы кол-ва,ед-цы веса/объема,Ед. изм,Старая цена,vegan icon,hot icon,мсджр_наименование_ru,мсджр_наименование_en,мсджр_наименование_sr_latn,мсджр_описание_ru,мсджр_описание_en,мсджр_описание_sr_latn,,,Вес,Объем,ИСПРАВИТЬ!!!!,Приборы
075,1,woks,5,Harusame s piletinom,Харусаме с курицей,Harusame with chicken,"pirinčani rezanci, šargarepa, paprika, luk, šampinjoni, susam, sos od ostriga, pileći file","рисовая лапша, морковь, болгарский перец, лук, шампиньоны, кунжут, устричный соус, куриное филе","rice noodles, carrot, bell pepper, onion, mushrooms, sesame seeds, oyster sauce, chicken fillet",900,1170,720,380,1,шт,гр,шт.,,,,Лапша Рисовая с курицей под устричным соусом 🐔,,,,,,,,320 гр.,1 шт.,,1
076,1,woks,6,Harusame sa škampima,Харусаме с креветкой,Harusame with shrimp,"pirinčani rezanci, šargarepa, paprika, luk, šampinjoni, susam, sos od ostriga, škampi","рисовая лапша, морковь, болгарский перец, лук, шампиньоны, кунжут, устричный соус, креветки","rice noodles, carrot, bell pepper, onion, mushrooms, sesame seeds, oyster sauce, shrimp",900,1170,720,380,1,шт,гр,шт.,,,,Лапша Рисовая с креветкой под устричным соусом 🦐,,,,,,,,320 гр.,1 шт.,,1
077,1,woks,7,Harusame s povrćem,Харусаме с овощами,Harusame with vegetables,"pirinčani rezanci, šargarepa, paprika, luk, šampinjoni, susam, sos od ostriga","рисовая лапша, морковь, болгарский перец, лук, шампиньоны, кунжут, устричный соус","rice noodles, carrot, bell pepper, onion, mushrooms, sesame seeds, oyster sauce",750,975,600,350,1,шт,гр,шт.,,,,Лапша Рисовая с овощами под соусом тонкацу,,,,,,,,320 гр.,1 шт.,,1
078,1,woks,8,Čahan sa škampima,Тяхан с креветками,Tyahan with shrimp,"pirinač, šargarepa, luk, kokošje jaje, soja sos, susam, škampi","рис, морковь, лук, куриное яйцо, соевый соус, кунжут, креветки","rice, carrot, onion, egg, soy sauce, sesame seeds, shrimp",950,1235,760,380,1,шт,гр,шт.,,,,Тяхан с креветкой,,,,,,,,320 гр.,1 шт.,,1
079,1,woks,9,Čahan s piletinom,Тяхан с курицей,Tyahan with chicken,"pirinač, šargarepa, luk, kokošje jaje, soja sos, susam, pileći file","рис, морковь, лук, куриное яйцо, соевый соус, кунжут, куриное филе","rice, carrot, onion, egg, soy sauce, sesame seeds, chicken fillet",800,1040,640,380,1,шт,гр,шт.,,,,Тяхан с курицей,,,,,,,,320 гр.,1 шт.,,1
080,1,soups,1,Tom jam s piletinom,Том Ям с курицей,Tom yum with chicken,"čeri paradajz, pileći file, šampinjoni, susam, kokosovo mleko, pirinač se služi posebno","помидоры черри, куриное филе, шампиньоны, кунжут, кокосовое молоко, рис подается отдельно","cherry tomatoes, chicken fillet, mushrooms, sesame seeds, coconut milk, served with rice separately",800,1040,640,600,1,шт,гр,шт.,,,,Том ям с курицей,,,,,,,,500 гр.,1 шт.,,1
081,1,soups,2,Tom jam sa škampima,Том Ям с креветками,Tom yum with shrimp,"čeri paradajz, škampi, dagnje, šampinjoni, susam, kokosovo mleko, pirinač se služi posebno","помидоры черри, креветки, мидии, шампиньоны, кунжут, кокосовое молоко, рис подается отдельно","cherry tomatoes, shrimp, mussels, mushrooms, sesame seeds, coconut milk, served with rice separately",900,1170,720,600,1,шт,гр,шт.,,,,Том ям с креветками,,,,,,,,500 гр.,1 шт.,,1
082,1,soups,3,Ramen,Рамен,Ramen,"pšenični rezanci, kokošje jaje, pileći file, šampinjoni, zelena salata, susam","пшеничная лапша, куриное яйцо, куриное филе, шампиньоны, зеленый салат, кунжут","wheat noodles, egg, chicken fillet, mushrooms, lettuce, sesame seeds",800,1040,640,750,1,шт,гр,шт.,,,,Рамен,,,,,,,,600 гр.,1 шт.,,1
083,1,soups,4,Šake tadzuki,Сяке тадзуки,Sake tadzuki,"losos, šampinjoni, vakame alge, susam, šrirača sos, pirinač se služi posebno","лосось, шампиньоны, вакаме, кунжут, соус шрирача, рис подается отдельно","salmon, mushrooms, wakame seaweed, sesame seeds, Sriracha sauce, served with rice separately",800,1040,640,600,1,шт,гр,шт.,,,,Сяке тядзуки,,,,,,,,600 гр.,1 шт.,,1
084,1,soups,5,Suimono,Суимоно,Suimono,"vakame alge, šampinjoni, kokošje jaje, susam, šrirača sos, pirinač se služi posebno","вакаме, шампиньоны, куриное яйцо, кунжут, соус шрирача, рис подается отдельно","wakame seaweed, mushrooms, egg, sesame seeds, Sriracha sauce, served with rice separately",500,650,400,600,1,шт,гр,шт.,,,,Суимоно,,,,,,,,500 гр.,1 шт.,,1
085,1,soups,6,Šake miso širo,Сяке мисо широ,Sake miso shiro,"losos, vakame alge, šampinjoni, miso pasta, susam, pirinač se služi posebno","лосось, вакаме, шампиньоны, мисо паста, кунжут, рис подается отдельно","salmon, wakame seaweed, mushrooms, miso paste, sesame seeds, served with rice separately",700,910,560,600,1,шт,гр,шт.,,,,Сяке мисо широ,,,,,,,,500 гр.,1 шт.,,1
086,1,sets,1,"Set ""Maki""","Сет ""Маки""","Set ""Maki""","Kapa maki, Šake maki, Tuna maki, Unagi maki, Kani maki","Каппа маки, Сяке маки, Туна маки, Унаги маки, Кани маки","Kappa maki, Sake maki, Tune maki, Eel maki, Crab maki",3000,3900,2400,550,40,шт,гр,сет.,,,,"🌟 Сет ""Маки""",,,,,,,,,40 шт.,,5
087,1,sets,2,"Set ""Klasika""","Сет ""Классика""","Set ""Classic""","Filadelfija, Kalifornija, Šake maki - 2 kom., Suši s lososom - 2 kom.","Филадельфия, Калифорния, Сяке маки - 2шт., Суши лосось - 2 шт.","Philadelphia, California, Sake maki (2 pieces), Salmon sushi (2 pieces)",4350,5655,3480,930,36,шт,гр,сет.,,,,"🌟 Сет ""Классика""",,,,,,,,,36 шт.,,6
088,1,sets,3,"Set ""Gurman""","Сет ""Гурман""","Set ""Gourmet""","Cezar, Hokaido, Filadelfija Premium, Kanada Premium","Цезарь, Хоккайдо, Филадельфия Премиум, Канада Премиум","Caesar, Hokkaido, Philadelphia Premium, Canada Premium",5000,6500,4000,1180,32,шт,гр,сет.,,,,"🌟 Сет ""Гурман""",,,,,,,,,32 шт.,,4
089,1,sets,4,"Set ""XXL""","Сет ""XXL""","Set ""XXL""","Filadelfija, Filadelfija Ebi, Filadelfija Tuna, Filadelfija Tobiko, Kanada, Kalifornija, Kalifornija škampi","Филадельфия, Филадельфия Эби, Филадельфия Тунец, Филадельфия Тобико, Канада, Калифорния, Калифорния Креветка","Philadelphia, Philadelphia Ebi, Philadelphia Tuna, Philadelphia Tobiko, Canada, California, California Shrimp",7700,10010,6160,1970,56,шт,гр,сет.,,,,"🌟 Сет ""XXL""",,,,,,,,,56 шт.,,7
950,1,extra,1,soja sos,соевый соус,soy sauce,,,,30,39,24,20,1,шт,гр,шт.,,TRUE,,,,,,,,,,20 гр.,1 сет.,,0
951,1,extra,2,đumbir,имбирь,ginger,,,,30,39,24,20,1,шт,гр,шт.,,TRUE,,,,,,,,,,20 гр.,1 сет.,,0
952,1,extra,3,vasabi,васаби,wasabi,,,,30,39,24,20,1,шт,гр,шт.,,TRUE,TRUE,,,,,,,,,20 гр.,1 сет.,,0
