Артикул,Активно,cat_slug,пп блюд,наименование_sr_latn,наименование_ru,наименование_en,описание_sr_latn,описание_ru,описание_en,Цена,Цена P1,Цена P2,вес/объем,кол-во в позиции,ед-цы кол-ва,ед-цы веса/объема,Ед. изм,Старая цена,vegan icon,hot icon,мсджр_наименование_ru,мсджр_наименование_en,мсджр_наименование_sr_latn,мсджр_описание_ru,мсджр_описание_en,мсджр_описание_sr_latn,,,Вес,Объем,ИСПРАВИТЬ!!!!,Приборы
018,1,rolls,18,Kanada Premium,Канада Премиум,Canada Premium,"pirinač, nori, dimljena jegulja, avokado, losos, susam, unagi sos","рис, нори, копченый угорь, авокадо, лосось, кунжут, унаги соус","rice, nori, smoked eel, avocado, salmon, sesame seeds, unagi sauce",1400,1820,1120,280,8,шт,гр,шт.,,,,Канада Премиум,,,,,,,,300 гр.,8 шт.,,1
019,1,rolls,19,Fuđi,Фудзи,Fuji,"pirinač, nori, tuna, sir, krastavac, susam, spajsi sos","рис, нори, тунец, сыр, огурец, кунжут, острый соус","rice, nori, tuna, cheese, cucumber, sesame seeds, spicy sauce",1100,1430,880,320,8,шт,гр,шт.,,,,Фудзи,,,,,,,,300 гр.,8 шт.,,1
020,1,rolls,20,Dinamit,Динамит,Dynamite,"pirinač, nori, tobiko kavijar, losos, škampi, dimljena jegulja, krastavac","рис, нори, тобико, лосось, креветка, копченый угорь, огурец","rice, nori, tobiko caviar, salmon, shrimp, smoked eel, cucumber",1300,1690,1040,280,8,шт,гр,шт.,,,,Динамит,,,,,,,,300 гр.,8 шт.,,1
021,1,rolls,21,Luna,Луна,Luna,"pirinač, nori, morski češalj, losos, avokado, tobiko kavijar","рис, нори, морской гребешок, лосось, авокадо, тобико","rice, nori, scallop, salmon, avocado, tobiko caviar",1400,1820,1120,270,8,шт,гр,шт.,,,,🌟 Луна,,,,,,,,,8 шт.,,1
022,1,backed,1,Zapečene rolnice kraba,Запеченый Краб,Baked Crab,zapečena rolnica sa surimijem od krabe,запечённый ролл с крабовыми сурими,Baked Roll with Crab Surimi,1000,1300,800,300,8,шт,гр,шт.,,,,Футомаки Сяке батта,,,,,,,,300 гр.,8 шт.,,1
023,1,backed,2,Zapečene rolnice losos,Запеченый Лосось,Baked Salmon,zapečena rolnica sa lososom,запечённый ролл с лососем,Baked Roll with Salmon,1100,1430,880,300,8,шт,гр,шт.,,,,Футомаки Эби батта,,,,,,,,300 гр.,8 шт.,,1
024,1,backed,3,Zapečene rolnice škampi,Запеченая Креветка,Baked Shrimp,zapečena rolnica sa škampima,запечённый ролл с креветкой,Baked Roll with Shrimp,1100,1430,880,300,8,шт,гр,шт.,,,,Футомаки Канни батта,,,,,,,,300 гр.,8 шт.,,1
025,1,backed,4,Zapečene rolnice tuna,Запеченый Тунец,Baked Tuna,zapečena rolnica sa tunom,запечённый ролл с тунцом,Baked Roll with Tuna,1100,1430,880,300,8,шт,гр,шт.,,,,Футомаки Магура батта,,,,,,,,300 гр.,8 шт.,,1
026,1,backed,5,Zapečene rolnice piletina,Запеченая Курица,Baked Chicken,zapečena rolnica sa dimljenom piletinom,запечённый ролл с копчённой курицей,Baked Roll with Smoked Chicken,1000,1300,800,300,8,шт,гр,шт.,,,,Футомаки Спайс лосось 🔥,,,,,,,,300 гр.,8 шт.,,1
027,1,backed,6,Zapečene rolnice morski češalj,Запеченый гребешок,Baked scallop rolls,"pirinač, nori, krastavac, sir, zapečeni sos s morskim češljem","рис, нори, огурец, сыр, запеченый соус с морским гребешком","rice, nori, cucumber, cheese, baked scallop sauce",1200,1560,960,300,8,шт,гр,шт.,,,,Футомаки Спайс туна 🔥,,,,,,,,,8 шт.,,1
028,1,backed,7,Zapečene rolnice dagnje,Запеченые мидии,Baked mussel rolls,"pirinač, nori, krastavac, sir, zapečeni sos s dagnjama i dodatkom šrirača sosa","рис, нори, огурец, сыр, запеченый соус с мидиями и добавлением соуса шрирача","rice, nori, cucumber, cheese, baked sauce with mussels and added Sriracha sauce",1100,1430,880,300,8,шт,гр,шт.,,,,Футомаки Спайс эби 🔥,,,,,,,,,8 шт.,,1
029,1,tempura,1,Tempura losos,Темпура лосось,Tempura salmon,"panirana rolnica sa sirom, tobiko kavijarom, krastavcem, zelenom salatom i lososom","обжаренный во фритюре ролл с сыром, тобико, огурцом, зеленым салатом и лососем","breaded roll with cheese, tobiko caviar, cucumber, lettuce, salmon",1000,1300,800,250,8,шт,гр,шт.,,,,Футомаки Спайс канни 🔥,,,,,,,,250 гр.,8 шт.,,1
030,1,tempura,2,Tempura škampi,Темпура креветка,Tempura shrimp,"panirana rolnica sa sirom, tobiko kavijarom, krastavcem, zelenom salatom i škampima","обжаренный во фритюре ролл с сыром, тобико, огурцом, зеленым салатом и креветкой","breaded roll with cheese, tobiko caviar, cucumber, lettuce, shrimp",1000,1300,800,250,8,шт,гр,шт.,,,,Футомаки Ясай,,,,,,,,250 гр.,8 шт.,,1
031,1,tempura,3,Tempura tuna,Темпура тунец,Tempura tuna,"panirana rolnica sa sirom, tobiko kavijarom, krastavcem, zelenom salatom i tunom","обжаренный во фритюре ролл с сыром, тобико, огурцом, зеленым салатом и тунцом","breaded roll with cheese, tobiko caviar, cucumber, lettuce, tuna",1000,1300,800,250,8,шт,гр,шт.,,,,Футомаки Сяке Чиз Авокадо🥑,,,,,,,,250 гр.,8 шт.,,1
032,1,tempura,4,Tempura surimi,Темпура сурими,Tempura surimi,"panirana rolnica sa sirom, tobiko kavijarom, krastavcem, zelenom salatom i surimijem","обжаренный во фритюре ролл с сыром, тобико, огурцом, зеленым салатом и сурими","breaded roll with cheese, tobiko caviar, cucumber, lettuce, surimi",1000,1300,800,250,8,шт,гр,шт.,,,,Футомаки Авокадо Чиз🥑,,,,,,,,300 гр.,8 шт.,,1
033,1,tempura,5,Hot roll s lososom,Хот ролл с лососем,Hot roll with salmon,"panirana rolnica sa sirom, krastavcem i lososom, dok se nori nalazi unutar rolnice","обжаренный во фритюре ролл с сыром, огурцом и лососем, при этом нори находится внутри ролла","breaded roll with cheese, cucumber, salmon, with nori inside",1150,1495,920,300,8,шт,гр,шт.,,,,Запеченый Краб,,,,,,,,300 гр.,8 шт.,,1
034,1,tempura,6,Hot roll sa škampima,Хот ролл с креветкой,Hot roll with shrimp,"panirana rolnica sa sirom, krastavcem i škampima, dok se nori nalazi unutar rolnice","обжаренный во фритюре ролл с сыром, огурцом и креветкой, при этом нори находится внутри ролла","breaded roll with cheese, cucumber, shrimp, with nori inside",1150,1495,920,300,8,шт,гр,шт.,,,,Запеченый Лосось,,,,,,,,350 гр.,8 шт.,,1
035,1,tempura,7,Kamčatski roll,Камчатский ролл,Kamchatka roll,"panirana rolnica sa sirom, krastavcem, surimijem i lososom","обжаренный во фритюре ролл с сыром, огурцом, сурими и лососем","breaded roll with cheese, cucumber, surimi, shrimp",1150,1495,920,350,8,шт,гр,шт.,,,,Запеченая Креветка,,,,,,,,250 гр.,8 шт.,,1
