город;имя;стоимость доставки;promo;мин заказ;wkt_polygon
Beograd;по запросу;0;False;0;
Beograd;уточнить;0;False;0;
Beograd;zone1-1;250;True;2500.00;20.4415519 44.802592, 20.4518086 44.7980041, 20.462323 44.7947456, 20.465091 44.792964, 20.468578 44.7919132, 20.4773972 44.7938624, 20.4818335 44.7937928, 20.4892149 44.7927345, 20.489333 44.7933512, 20.4892686 44.7967773, 20.4852782 44.7994762, 20.4865871 44.8013794, 20.4850529 44.8019275, 20.487027 44.8038002, 20.488014 44.8033435, 20.4907821 44.8059164, 20.4824886 44.8094103, 20.4847418 44.810788, 20.4820058 44.8134063, 20.4809866 44.8136803, 20.4817376 44.8158266, 20.4800746 44.8158418, 20.4800854 44.8159788, 20.4803643 44.816405, 20.4800532 44.8166562, 20.4804716 44.8171357, 20.480418 44.8182088, 20.4799244 44.8182316, 20.4802678 44.8198679, 20.4743668 44.8203169, 20.4746672 44.8209561, 20.476341 44.8208344, 20.4776928 44.8243349, 20.4731008 44.8255829, 20.4734947 44.826443, 20.4745891 44.82623, 20.4755548 44.8282845, 20.4659415 44.8304303, 20.4555344 44.8314955, 20.4526806 44.8314803, 20.4508137 44.8312368, 20.4487644 44.8306281, 20.4469942 44.8297378, 20.4453509 44.8283992, 20.444321 44.8268773, 20.4442781 44.8261316, 20.4444497 44.8247466, 20.4450076 44.8231334, 20.4468959 44.8205764, 20.4481106 44.8182177, 20.4486256 44.8154018, 20.4485397 44.8127835, 20.4482393 44.8113069, 20.447145 44.8086124, 20.4437471 44.8043974, 20.4415519 44.802592
Beograd;zone2-1;300;False;0;20.4381802 44.8021966, 20.4404118 44.8035973, 20.4427936 44.8058506, 20.4441455 44.8074948, 20.4453256 44.8094434, 20.4463391 44.8117237, 20.4468327 44.813459, 20.4467683 44.8146768, 20.4458456 44.817371, 20.4429059 44.8214349, 20.4428863 44.8218779, 20.442543 44.8225475, 20.4422211 44.8229432, 20.4421674 44.8234607, 20.4374038 44.8223344, 20.4356014 44.8219539, 20.434271 44.8197014, 20.4371893 44.8179966, 20.4347002 44.8152568, 20.423638 44.8199158, 20.414007 44.8096569, 20.4136208 44.8093144, 20.4198143 44.8065288, 20.4206726 44.8058285, 20.4259297 44.803895, 20.4323241 44.8025552, 20.4344055 44.8015808, 20.4353067 44.8013677, 20.4368946 44.8014438, 20.4381802 44.8021966
Beograd;zone2-2;300;False;0;20.4777031 44.8244264, 20.4763513 44.8209259, 20.4746775 44.8210476, 20.4743771 44.8204084, 20.4802781 44.8199594, 20.4799347 44.8183231, 20.4804283 44.8183003, 20.4804819 44.8172272, 20.4800635 44.8167477, 20.4803746 44.8164965, 20.4800957 44.8160703, 20.4800849 44.8159333, 20.4817479 44.8159181, 20.4809969 44.8137718, 20.4820161 44.8134978, 20.4847521 44.8108795, 20.4824989 44.8095018, 20.4907924 44.8060079, 20.4880244 44.803435, 20.4870373 44.8038917, 20.4850632 44.802019, 20.4865974 44.8014709, 20.4852885 44.7995677, 20.489279 44.7968688, 20.4893434 44.7934427, 20.4892253 44.792826, 20.4818438 44.7938843, 20.4774075 44.7939539, 20.4685883 44.7920047, 20.4651013 44.7930555, 20.4623333 44.7948371, 20.4518188 44.7980956, 20.4415622 44.8026835, 20.4272938 44.7947437, 20.4275942 44.7922616, 20.428667 44.7909519, 20.4307056 44.7876778, 20.4312206 44.7868706, 20.4355765 44.7847385, 20.4390419 44.7834589, 20.4418636 44.781734, 20.4515948 44.7810182, 20.4563799 44.7792209, 20.4576076 44.7786476, 20.4589594 44.77864, 20.4609765 44.7788304, 20.4640664 44.7801098, 20.4650535 44.7792416, 20.4667057 44.7794396, 20.4678322 44.7803992, 20.4696777 44.7789827, 20.469785 44.7796224, 20.4732611 44.7802393, 20.4743991 44.7783913, 20.4792915 44.7792214, 20.4796678 44.7793688, 20.479067 44.7803322, 20.4787559 44.7805759, 20.4783589 44.7819466, 20.4797215 44.7822969, 20.4787452 44.7843378, 20.4815239 44.7855638, 20.4848429 44.7847863, 20.4901751 44.784299, 20.494617 44.7843903, 20.4996957 44.786988, 20.4974427 44.7918301, 20.5028072 44.7931701, 20.5039995 44.7949055, 20.5046218 44.7948293, 20.5066174 44.7970525, 20.5067139 44.797357, 20.5075722 44.7975321, 20.5081409 44.7983924, 20.508613 44.7991766, 20.5072546 44.8006527, 20.5062782 44.8009724, 20.504111 44.8031497, 20.5017877 44.8031342, 20.5009407 44.8099892, 20.5011338 44.8129881, 20.49946 44.8144343, 20.4944604 44.8150279, 20.4914562 44.8160326, 20.4896537 44.8167023, 20.4908768 44.8253779, 20.4793754 44.8275847, 20.4773369 44.8258954, 20.4777031 44.8244264
Beograd;zone3-1;500;False;0;20.4765952 44.8276451, 20.4804055 44.8268538, 20.4830216 44.8358427, 20.4739836 44.8381482, 20.4545858 44.8501978, 20.4631689 44.8577426, 20.4675463 44.8589291, 20.4718807 44.8630661, 20.4741123 44.8668682, 20.4806355 44.8708222, 20.485914 44.8662599, 20.4847339 44.8639178, 20.4893902 44.8581609, 20.4965571 44.8570354, 20.4944971 44.8527762, 20.4950121 44.8515288, 20.5040672 44.8544495, 20.5176714 44.8562444, 20.5251387 44.8552709, 20.5281427 44.8492165, 20.5228642 44.8396317, 20.5185297 44.8333094, 20.4937676 44.8315138, 20.4946259 44.8242698, 20.505226 44.8235545, 20.5194953 44.8242242, 20.524216 44.824559, 20.5244306 44.8218195, 20.5249885 44.8197191, 20.5335501 44.8211955, 20.5400303 44.8246351, 20.5422256 44.8268938, 20.5452297 44.8294809, 20.5456374 44.8304396, 20.5471609 44.8315809, 20.5523322 44.8343048, 20.554435 44.8363285, 20.5579326 44.8380175, 20.5599711 44.8345026, 20.5584261 44.8288417, 20.5479333 44.8225715, 20.5498216 44.8205929, 20.5491993 44.8184316, 20.5503151 44.8150677, 20.5494272 44.8136991, 20.5526458 44.8121616, 20.5509673 44.8103822, 20.5524143 44.8086041, 20.5513092 44.8077973, 20.5471893 44.8103091, 20.5433055 44.8114509, 20.5381771 44.8105527, 20.5290361 44.8046155, 20.5377265 44.8000631, 20.5517599 44.7958453, 20.5552361 44.790942, 20.551917 44.7878684, 20.5495422 44.7811092, 20.5484746 44.7783702, 20.5436682 44.7721751, 20.5391192 44.7707127, 20.5322528 44.7611149, 20.5353427 44.7557515, 20.5208428 44.7395054, 20.5153194 44.7347049, 20.5100409 44.7339732, 20.5067364 44.7372961, 20.5006853 44.7322964, 20.4950939 44.7331682, 20.4926048 44.7358205, 20.4860388 44.7348145, 20.4834136 44.7307368, 20.4792937 44.7299746, 20.4692599 44.741538, 20.4706332 44.7495238, 20.4603335 44.7548267, 20.4578444 44.7528763, 20.4568739 44.744669, 20.443656 44.7415599, 20.4391928 44.7443032, 20.433013 44.7416209, 20.4292364 44.7346705, 20.4189797 44.7332376, 20.4107399 44.7420476, 20.4106541 44.7484485, 20.4006119 44.7522277, 20.4066201 44.7728872, 20.3998677 44.7800955, 20.4254882 44.7931622, 20.4243499 44.7980155, 20.410617 44.7977109, 20.3988582 44.796036, 20.3868419 44.7949701, 20.3821641 44.7938129, 20.3732377 44.7896709, 20.3610497 44.8021568, 20.3647671 44.8043545, 20.3614626 44.8102309, 20.3664837 44.8124534, 20.3731785 44.8207643, 20.3607331 44.8228799, 20.3644852 44.8381017, 20.3730682 44.8504859, 20.3737978 44.8517333, 20.3729395 44.8560229, 20.3783468 44.8619853, 20.3863291 44.8584566, 20.3914789 44.8566922, 20.4023794 44.8530415, 20.4128508 44.8487212, 20.4172281 44.8447049, 20.4182018 44.8428593, 20.4194892 44.8385687, 20.4194892 44.8364384, 20.4214633 44.830443, 20.4230066 44.8274612, 20.4265257 44.8239913, 20.4297014 44.8224693, 20.4317184 44.8220127, 20.4356014 44.8219539, 20.4421674 44.8234607, 20.4454905 44.8241072, 20.4453618 44.8262379, 20.4463917 44.8277598, 20.448035 44.8290984, 20.4495322 44.8299344, 20.4518545 44.8305974, 20.4537213 44.8308409, 20.4565751 44.8308561, 20.4669821 44.8297909, 20.4765952 44.8276451
